loss,accuracy,precision,recall,auc,prc
1.664758563041687,0.4186575710773468,0.6678966879844666,0.20591580867767334,0.7528169751167297,0.4533534348011017
1.0190612077713013,0.6951080560684204,0.8599790930747986,0.46814560890197754,0.9260979890823364,0.7769625782966614
0.8193126320838928,0.7554038763046265,0.8752052783966064,0.6063708662986755,0.9497746825218201,0.8430585265159607
0.7210893630981445,0.7895335555076599,0.8832831382751465,0.6672354936599731,0.9597742557525635,0.8713758587837219
0.6315101385116577,0.8225256204605103,0.8999290466308594,0.721274197101593,0.9700339436531067,0.901669442653656
0.5847276449203491,0.839021623134613,0.9039666056632996,0.7389078736305237,0.97360759973526,0.9128838181495667
0.5484592318534851,0.8441410660743713,0.9002677202224731,0.7650739550590515,0.9765422344207764,0.9202828407287598
0.5016637444496155,0.8560864329338074,0.9198396801948547,0.7832764387130737,0.979736864566803,0.9320226907730103
0.4691239297389984,0.871444821357727,0.9242228269577026,0.8117178678512573,0.9830114245414734,0.9415128231048584
0.4409714937210083,0.8691695332527161,0.9257362484931946,0.8225256204605103,0.9847623705863953,0.947664201259613
0.41937023401260376,0.8799772262573242,0.9303069114685059,0.8276450634002686,0.9856159090995789,0.9507944583892822
0.39548107981681824,0.8930602669715881,0.9374209642410278,0.8435722589492798,0.9881764054298401,0.957429826259613
0.3780876696109772,0.8970420956611633,0.9406940340995789,0.8481228947639465,0.9886634945869446,0.9603395462036133
0.3627292811870575,0.9038680195808411,0.9394322037696838,0.8469852209091187,0.9891924262046814,0.9614449143409729
0.34200209379196167,0.9021615386009216,0.939601480960846,0.8583617806434631,0.9902109503746033,0.9647938013076782
0.334041029214859,0.9072809815406799,0.9371533989906311,0.8651877045631409,0.990960955619812,0.967582106590271
0.3198903799057007,0.905005693435669,0.9435483813285828,0.8651877045631409,0.9917459487915039,0.9696226119995117
0.3053702712059021,0.9186575412750244,0.9466343522071838,0.8879408240318298,0.9928143620491028,0.9726831316947937
0.28857776522636414,0.9197952151298523,0.9533169269561768,0.8828213810920715,0.9937466382980347,0.9759120941162109
0.2760087251663208,0.9254835247993469,0.9516323804855347,0.8953356146812439,0.9939822554588318,0.9776926636695862
0.264492928981781,0.9402730464935303,0.9601208567619324,0.9038680195808411,0.9943122267723083,0.9800554513931274
0.25308170914649963,0.9362912178039551,0.9630973935127258,0.9055745005607605,0.9952266812324524,0.9825465679168701
0.2412933111190796,0.9385665655136108,0.9591346383094788,0.9078498482704163,0.995365560054779,0.98276686668396
0.2274499386548996,0.947098970413208,0.9635385274887085,0.916951060295105,0.9961479902267456,0.9854483008384705
0.22880755364894867,0.9482366442680359,0.9646918177604675,0.916951060295105,0.9962066411972046,0.985849142074585
0.22187364101409912,0.9465301632881165,0.9654967188835144,0.9232081770896912,0.9962157011032104,0.985856294631958
0.20829614996910095,0.9465301632881165,0.9683959484100342,0.9237770438194275,0.9966818690299988,0.9877234697341919
0.19785714149475098,0.9539248943328857,0.968639075756073,0.9311717748641968,0.9967736601829529,0.9879173636436462
0.1905350685119629,0.9539248943328857,0.9697508811950684,0.9300341010093689,0.997134804725647,0.9890785813331604
0.1898670196533203,0.9562002420425415,0.9740106463432312,0.9379976987838745,0.9974026679992676,0.9902877807617188
0.16971267759799957,0.9618884921073914,0.9759671688079834,0.947098970413208,0.9978582262992859,0.9921320676803589
0.1731279045343399,0.9567690491676331,0.9705014824867249,0.9357224106788635,0.9980117678642273,0.992042064666748
0.16379214823246002,0.9624573588371277,0.9793144464492798,0.9425483345985413,0.9981778264045715,0.993337869644165
0.15729886293411255,0.9670079350471497,0.9794842004776001,0.9505119323730469,0.9981173276901245,0.9932225942611694
0.1519521027803421,0.9681456089019775,0.9789719581604004,0.9533560872077942,0.9982203841209412,0.9933836460113525
0.1426904946565628,0.9687144756317139,0.9830310344696045,0.9556313753128052,0.9984652996063232,0.9944801330566406
0.1396665722131729,0.9715585708618164,0.9836448431015015,0.9579067230224609,0.9987286329269409,0.99540114402771
0.13700713217258453,0.9732650518417358,0.9825276732444763,0.9596132040023804,0.9985508918762207,0.9950873255729675
0.1304110884666443,0.9721274375915527,0.9802210330963135,0.9584755301475525,0.9986488819122314,0.995171308517456
0.12580250203609467,0.9715585708618164,0.9825276732444763,0.9596132040023804,0.9988203644752502,0.9959862232208252
0.1259748488664627,0.9738339185714722,0.9843114614486694,0.9635949730873108,0.9987438321113586,0.9954633712768555
0.12113135308027267,0.9721274375915527,0.9842749238014221,0.9613196849822998,0.9988210797309875,0.9958704710006714
0.11687353253364563,0.9806598424911499,0.9861030578613281,0.9687144756317139,0.9990288615226746,0.9966581463813782
0.11428899317979813,0.9761092066764832,0.9860708117485046,0.9664391279220581,0.9989103674888611,0.9963631629943848
0.11015055328607559,0.9789533615112305,0.9848924875259399,0.9641638398170471,0.9993072152137756,0.9970510005950928
0.1018630787730217,0.9835039973258972,0.9907192587852478,0.9715585708618164,0.9991720914840698,0.9973061084747314
0.09948068857192993,0.9806598424911499,0.9861511588096619,0.9721274375915527,0.9993759393692017,0.9973627328872681
0.09226065129041672,0.9846416115760803,0.9890804886817932,0.9789533615112305,0.999488115310669,0.9979531168937683
0.09357326477766037,0.9846416115760803,0.9902411103248596,0.9812286496162415,0.999201238155365,0.9974350929260254
0.09682224690914154,0.9829351305961609,0.9913395047187805,0.9766780138015747,0.9992966055870056,0.9971510767936707
0.08545508980751038,0.9869169592857361,0.9919401407241821,0.9800910353660583,0.99965900182724,0.9986804723739624
0.08204644918441772,0.9886234402656555,0.9919401407241821,0.9800910353660583,0.9997038841247559,0.9986907243728638
