loss,accuracy,precision,recall,auc,prc
1.3769829273223877,0.4806598424911499,0.7459677457809448,0.10523322224617004,0.7965501546859741,0.46872520446777344
0.8985863924026489,0.7718998789787292,0.8541666865348816,0.3964732587337494,0.9214739799499512,0.7450732588768005
0.7409140467643738,0.8174061179161072,0.8754940629005432,0.5039817690849304,0.9430081844329834,0.8104636669158936
0.6661986708641052,0.8310580253601074,0.8887884020805359,0.5591581463813782,0.9528785347938538,0.8433266878128052
0.5953144431114197,0.8555176258087158,0.8976311087608337,0.6035267114639282,0.9624031782150269,0.8700284957885742
0.5561298131942749,0.8686006665229797,0.9001636505126953,0.6257110238075256,0.9668911695480347,0.885712742805481
0.527125358581543,0.8686006665229797,0.9005568623542786,0.6439135670661926,0.9698118567466736,0.8938959240913391
0.49795064330101013,0.8759954571723938,0.9140866994857788,0.6717861294746399,0.9718418121337891,0.9018910527229309
0.4700825810432434,0.8771331310272217,0.913476288318634,0.6786120533943176,0.9750156402587891,0.9115422964096069
0.4506581127643585,0.884527862071991,0.9195830225944519,0.7025028467178345,0.9776692390441895,0.9185434579849243
0.4202112555503845,0.8976109027862549,0.9227405190467834,0.7201365232467651,0.9809104204177856,0.9288268685340881
0.4082212746143341,0.8947668075561523,0.9260057210922241,0.733219563961029,0.9815074801445007,0.9333463907241821
0.4012455344200134,0.8993173837661743,0.9223093390464783,0.7360637187957764,0.9815773963928223,0.9328016042709351
0.38240769505500793,0.9078498482704163,0.9328147172927856,0.7502844333648682,0.9836495518684387,0.9396300315856934
0.37507084012031555,0.9061433672904968,0.9312499761581421,0.7627986073493958,0.9841921329498291,0.9418942928314209
0.3594977855682373,0.9061433672904968,0.9304105639457703,0.7605233192443848,0.9856107234954834,0.9450128078460693
0.32945749163627625,0.9186575412750244,0.9443681240081787,0.7821387648582458,0.9880568385124207,0.9550848007202148
0.33071017265319824,0.9158134460449219,0.9412955641746521,0.7935153841972351,0.9881169199943542,0.9549114108085632
0.31159326434135437,0.9237770438194275,0.9490274786949158,0.8048919439315796,0.9894621968269348,0.9597463607788086
0.310829758644104,0.9209328889846802,0.9409814476966858,0.8071672320365906,0.989523708820343,0.9601486921310425
0.28947412967681885,0.9323094487190247,0.9527868628501892,0.8265073895454407,0.9907016754150391,0.9648427367210388
0.2848530113697052,0.9323094487190247,0.9513477683067322,0.8230944275856018,0.9909653663635254,0.9660617113113403
0.27400678396224976,0.9334471225738525,0.9568576812744141,0.8452787399291992,0.9916463494300842,0.9683443307876587
0.26711997389793396,0.9300341010093689,0.9493265151977539,0.8418657779693604,0.99242103099823,0.9706801176071167
0.25851622223854065,0.935153603553772,0.9541109204292297,0.8515358567237854,0.9923595786094666,0.9710221886634827
0.25681886076927185,0.939704179763794,0.9567704796791077,0.8560864329338074,0.9926534295082092,0.9718136787414551
0.24920867383480072,0.9362912178039551,0.9537389278411865,0.8560864329338074,0.9928205013275146,0.9723143577575684
0.24495500326156616,0.9362912178039551,0.9508816003799438,0.8589305877685547,0.9931420087814331,0.9726341962814331
0.23752428591251373,0.9459612965583801,0.9620882272720337,0.8805460929870605,0.9937940835952759,0.9765164852142334
0.22674541175365448,0.9436860084533691,0.961298406124115,0.8759954571723938,0.9947915077209473,0.9790838956832886
0.22568662464618683,0.944823682308197,0.960420548915863,0.8833901882171631,0.9942945837974548,0.9780174493789673
0.2149425595998764,0.9482366442680359,0.9641088843345642,0.8862343430519104,0.9948568940162659,0.9809944033622742
0.20977936685085297,0.947098970413208,0.9630541801452637,0.8896473050117493,0.9955761432647705,0.9827520847320557
0.214882031083107,0.9408418536186218,0.9576946496963501,0.8885096907615662,0.99488765001297,0.9800847768783569
0.20469139516353607,0.9527872800827026,0.962895393371582,0.9004550576210022,0.9949600100517273,0.9812939167022705
0.20309972763061523,0.9488054513931274,0.9604141116142273,0.8970420956611633,0.994994580745697,0.9812809228897095
0.1945742815732956,0.9510807991027832,0.9678007364273071,0.9061433672904968,0.995715856552124,0.9834401607513428
0.18846602737903595,0.9584755301475525,0.97096186876297,0.9129692912101746,0.9960967302322388,0.9854697585105896
0.1824798732995987,0.9550625681877136,0.969072163105011,0.9089874625205994,0.9959458708763123,0.9851770997047424
0.17809882760047913,0.9613196849822998,0.9704641103744507,0.9158134460449219,0.9963282942771912,0.9862570762634277
0.17552271485328674,0.9624573588371277,0.9711712002754211,0.9197952151298523,0.9963115453720093,0.9862874746322632
0.1710059940814972,0.9601820111274719,0.9688808917999268,0.9209328889846802,0.9965870380401611,0.986777126789093
0.16578419506549835,0.9630261659622192,0.972123384475708,0.9323094487190247,0.9968913197517395,0.9883508086204529
0.16341160237789154,0.9653014540672302,0.9737626910209656,0.9288964867591858,0.9968337416648865,0.9879857897758484
0.163384810090065,0.9653014540672302,0.972700297832489,0.9323094487190247,0.9967413544654846,0.9880588054656982
0.15566910803318024,0.9681456089019775,0.9762892723083496,0.9368600845336914,0.9966914057731628,0.988093912601471
0.16170263290405273,0.9624573588371277,0.9709715843200684,0.9323094487190247,0.9969808459281921,0.9886012077331543
0.1520625799894333,0.9692832827568054,0.9746760725975037,0.9414107203483582,0.9972171187400818,0.9896076321601868
0.1421247124671936,0.9721274375915527,0.9781323671340942,0.9414107203483582,0.9973379969596863,0.9903505444526672
0.142020583152771,0.9687144756317139,0.9747356176376343,0.9436860084533691,0.9976617097854614,0.9907681345939636
0.14237947762012482,0.969852089881897,0.9781453013420105,0.9419795274734497,0.99739670753479,0.9904931783676147
0.14297471940517426,0.9692832827568054,0.9770588278770447,0.944823682308197,0.9972649812698364,0.9901269674301147
